,Cena,Adresa,Popis inzerátu
0,4 650 000 Kč,"Buková, Praha 3, Hlavní město Praha","Prodej bytu 2+1, 51 m2, ul. Buková, Praha 3 - Žižkov"
1,7 190 000 Kč,"Na Harfě, Praha 9, Hlavní město Praha","Prodej bytu 2kk 111 m2, Praha 9 - Vysočany"
2,7 150 000 Kč,"Čihákova, Praha 9, Hlavní město Praha",Prodej bytu 3+1/2xB/S Praha 9 - Vysočany
3,5 613 750 Kč,"Mečislavova, Praha 4, Hlavní město Praha","Nový byt 2KK, 46m2, OV u nám. Bratří Synků"
4,4 750 000 Kč,"Nedvězská, Praha 10, Hlavní město Praha","Světlý byt v blízkosti metra, 2+kk,  41m2"
5,4 990 000 Kč,"Českobrodská, Praha 9, Hlavní město Praha","Prodej DV byt 2+1/S, 51 m2 + sklep 7,1 m2 + sklep 1,3 m2, Praha 9 - Běchovice"
6,5 795 000 Kč,"Cholupická, Praha 4, Hlavní město Praha",Prodej bytu 3+1+lodžie v krásném klidném prostředí
7,7 140 000 Kč,"Skuteckého, Praha 6, Hlavní město Praha","Prodej, bytu 3+kk,T,B, 91m2, Praha - Řepy"
8,,"Truhlářská, Praha 1, Hlavní město Praha","Prodej, byt 2+kk, 63,5 m2, Praha 1 - Truhlářská ulice"
9,5 900 000 Kč,"Vsetínská, Praha 5, Hlavní město Praha","Prodej bytu 3+1, 80m2, Praha Zličín"
10,4 490 000 Kč,"Skuteckého, Praha 6, Hlavní město Praha","Prodej bytu 2+KK po celkové rekonstrukci, 45 m2, Praha - Řepy"
11,4 990 000 Kč,"Tyršova, Praha 2, Hlavní město Praha","Prodej bytu 2+kk, 36 m2  v Praze 2, Nové Město"
12,,"Švehlova, Praha 10, Hlavní město Praha","Zrekonstruovaný byt 3+1, Praha - Záběhlice"
13,5 450 000 Kč,"Horolezecká, Praha 10, Hlavní město Praha","Prodej kompletně zrekonstruovaného bytu 2+1, s ideální dispozicí, Praha 15, Hostivař"
14,5 750 000 Kč,"9. května, Praha 9, Hlavní město Praha",Prodej bytu 2kk 53m2 se zahrádkou 132m2 v ulici 9. Května Hostavice - Praha 14
15,4 150 000 Kč,"Mládeže, Praha 6, Hlavní město Praha","Prodej, Byty 2+kk, 38m2 - Praha 6 - Břevnov"
16,3 970 000 Kč,"Přímětická, Praha 4, Hlavní město Praha",Slunný klidný byt 2+kk / 41 m2 s nízkými náklady
17,5 490 000 Kč,"Písnická, Praha 4, Hlavní město Praha","Prodej bytu 2+1 62,5 m2 Písnická Praha 4 - Kamýk"
18,6 350 000 Kč,"Rostislavova, Praha 4, Hlavní město Praha","Prodej Novostavba 2+kk/balkon/GS Praha 4, blízko Bratří Synků"
19,6 198 500 Kč,"Praha 4, Hlavní město Praha","Nový byt 2+kk o výměře 53,14 m2, s lodžií 2,73 m2, Praha 4 - Lhotka"
20,4 700 000 Kč,"U družstev, Praha 4, Hlavní město Praha","Prodej krásného bytu 2+kk, v OV, Praze 4"
21,,"Pařížská, Praha 1, Hlavní město Praha","Byt 2+kk/B, 71m2 Praha 1- ul. Pařížská"
22,4 280 000 Kč,"Galandova, Praha 6, Hlavní město Praha","Prodej bytu po rekonstrukci 2+kk, 45m2 - Praha - Řepy"
23,5 690 000 Kč,"Holandská, Praha 10, Hlavní město Praha","Prodej bytu 2+KK po rekonstrukci, Praha - Vršovice"
24,3 800 000 Kč,"Krouzova, Praha 4, Hlavní město Praha","Družstevní byt 2+kk, 41m2 Krouzova, Praha 12"
25,6 700 000 Kč,"Evropská, Praha, Hlavní město Praha",Prodej bytu 2+1 Praha Dejvice
26,5 999 900 Kč,"Markušova, Praha 4, Hlavní město Praha","Krásný a prostorný byt 3+1 84m2 s lodžií v OV, Praha 11"
27,3 490 000 Kč,"Vršovická, Praha, Hlavní město Praha","Prodej, ateliér 2+kk, 38,4m2, ul. Vršovická, Praha"
28,,"Praha 10, Hlavní město Praha","Prodej, Byt 3+kk, 80,9m2 + terasa 17,9m2, Praha 10 Horní Měcholupy"
29,4 150 000 Kč,"Šimůnkova, Praha 8, Hlavní město Praha","Prodej bytu 2+kk, 47 m2, OV, Praha 8 - Kobylisy"
30,5 750 000 Kč,"Gabinova, Praha 5, Hlavní město Praha","Prodej prostorné bytové jednotky 3+1 v OV, 69 m2, Praha 5 - Hlubočepy"
31,6 150 000 Kč,"Semická, Praha 4, Hlavní město Praha","Prodej bytu 3+1 po rekonstrukci, 77m2, Modřany"
32,4 450 000 Kč,"Botevova, Praha 4, Hlavní město Praha","Prodej bytu 3+1/L, 66 m2, DV, Praha 4 – Modřany"
33,4 500 000 Kč,"Něvská, Praha 9, Hlavní město Praha","Prodej bytové jednotky 3+1, 62 m2, Praha 9 - Čakovice"
34,5 290 000 Kč,"Na Petřinách, Praha 6, Hlavní město Praha",Prodej bytu 2+1 u stanice metra Petřiny. 55 m2
35,4 162 526 Kč,"Modrá, Praha 5, Hlavní město Praha","Prodej bytu 2+kk,45m2, Praha - Stodůlky"
36,5 890 000 Kč,"Přípotoční, Praha 10, Hlavní město Praha","Prodej jednotky 2+kk, Praha 10 - Vršovice"
37,5 570 000 Kč,"Tupolevova, Praha 9, Hlavní město Praha","Novostavba 2+kk/ B/GS, 77m2 - Praha - Letňany"
38,4 990 000 Kč,"Peroutkova, Praha 5, Hlavní město Praha","Prodej nového bytu 2+KK s parkovacím stáním, Praha 5"
39,200 000 €,"Sokolská, Praha 2, Hlavní město Praha","Luxusní apartmány na jihu Španělska, La Alcaidesa"
